"PESSI_schools","Address","BM1","Address_BM1","BM2","Address_BM2","BM3","Address_BM3","BM4","Address_BM4","BM5","Address_BM5"
"AL- FURQAN MODEL SCHOOL","OLD SHUJABAD RD","AL- FURQAN MODEL SCHOOL BOYS","CHOWK SHAH ABBAS","AL - FURQAN MODEL SCHOOL","ISLAM NAGAR","KIRAN MODEL SCHOOL","STREET BANSO WALI HAZOORI BAGH ROAD MULTAN","AL-REHMAN MODEL SCHOOL","WAHIDA ABAD","AL-HAMDAN MODEL SCHOOL","248/A CHOWK RAIWAY STATION"
"THE BCON PUBLIC SCHOOL","VEHARI RD.","BEACON PUBLIC SCHOOL","BHUTTA COLONY","THE NATION PUBLIC SCHOOL","DERA MUHAMMADI","THE SHAN PUBLIC SCHOOL","ST NO 9 KACHI SARAY MASOOM SHAH ROAD MULTAN","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road"
"GLAXY ENGLISH PUBLIC SCHOOL","CHOWK SHAH ABBAS","MALIK ENGLISH PUBLIC SCHOOL","WILAYAT ABAD NO 1","IQBAL ENGLISH PUBLIC SCHOOL","P/O RIAZABAD LOOTHER","SIR SYED ENGLISH PUBLIC SCHOOL","MUBARAK PUR BRISTA LAR","AL-QURAISH ENGLISH PUBLIC SCHOOL","ALLANG DEHLI GATE","SHAN PUBLIC ENGLISH SCHOOL","PEER COLONY # 3 MULTAN"
"YOUNG SCHOLAR CHARTAR SCHOOL","VEHARI RD.","YOUNG SCHOLAR CHARTER JUNIOR SCHOOL","New Latif Abad","YOUNG SCHOLAR CHARTER SCHOOL TODDLERS BRANCH","Jaam Pur","MULTAN SCHOLAR SCHOOL","SHAHEEN ABAD CH NO 11","LITTLE SCHOLAR SCHOOL","BILAL NAGAR CHUNGI NO 14","YOUNG SCHOLARS PUBLIC SCHOOL","BASTI DERA MUHAMMADI M.GARH"
"MULTAN JUNIOR SCHOOL","OLD SHUJABAD RD","NR JUNIOR SCHOOL","Mukhtar Town","MULTAN JUNIOR AND SECONDARY SCHOOL","NEAR DOUBLE PHATAK CHOWK","AMINA JUNIOR SCHOOL","SHAH GARDAZ LAHORI GATE","MULTAN SCHOLAR SCHOOL","SHAHEEN ABAD CH NO 11","USMAN JUNIOR HIGH SCHOOL","GULSHAN -E-SHUJAAT ISMAILABAD"
"MUSLIM PUBLIC SCHOOL","OLD SHUJABAD RD","MUSLIM PUBLIC SCHOOL","NADIRA ABAD PHATTAK MULTAN","MUSLIM PUBLIC SCHOOL","JHOKE WALA NEAR BUCH STATION","MUSLIM PUBLIC SCHOOL","NADIRA ABAD PHATTAK MULTAN","MUSLIM PUBLIC SCHOOL","JHOKE WALA NEAR BUCH STATION","NEW MUSLIM PUBLIC SCHOOL","BASTI SHOR KOT MULTAN"
"NISHAT BOY SCHOOL","OLD SHUJABAD RD","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS JUNIOR SCHOOL","PIR KHURSHID COLONY MULTAN"
"OPF PUBLIC SCHOOL","WILAYATABAD","OPF PUBLIC SCHOOL","WILAYAT ABAD NO 1","MJ PUBLIC SCHOOL","BASTI JUMMA WALA","HANIF PUBLIC SCHOOL","BASTI KOT GUJJRAN","ALI PUBLIC SCHOOL","BAHWAL PUR SUKHA ROAD","ALI PUBLIC SCHOOL","KHAWAJA GHARIB NAWAZ"
"SIENCE SCHOOL","OLD SHUJABAD RD","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","HN SCIENCE SCHOOL","LODHI MOR NAWAB PUR ROAD"
"MULTAN GEMS SCHOOL","OLD SHUJABAD RD","MULTAN GEMS SCHOOL","OLD SHUJABAD ROAD","MULTAN GEMS SCHOOL","MULTAN 9 94 NO C SHAH RUKNE ALAM","MULTAN GEMS SCHOOL","OLD SHUJABAD ROAD","MULTAN GEMS SCHOOL","MULTAN 9 94 NO C SHAH RUKNE ALAM","MULTAN GEMS SCHOOL GIRLS BRANCH","22- ABDALI COLONY"
"THE EDUCATORS HADI","OLD SHUJABAD RD","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"ZAMEER PUBLIC SCHOOL","OLD SHUJABAD RD","ZAMEER PUBLIC SCHOOL","NEAR BILAL CHOWK OLD SHUJABAD ROAD MULTAN","MEHER PUBLIC SCHOOL","ST NO 6 KHUSHAL COLONY","ALQDEER PUBLIC SCHOOL","AILAM PUR","ZAMIR PUBLIC SCHOOL","OPPOT TELEPONE EXCHANGE CHUNGI 6","ZAMIR PUBLIC SCHOOL","ZAKRIYA TOWN FASE III"
"BILSON PUBLIC SCHOOL","MUSTFA RD","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road","BILSON PUBLIC SCHOOL","JALIL ABAD COLONY MULTAN","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road"
"OAJ CARE SCHOOL","OLD SHUJABAD RD","NFBE SCHOOL","BASTI ALI WALA","NFBE SCHOOL","P/O KOT ABBAS SHAHEED","NFBE SCHOOL","CHAK MURSHI WALA","NBFE SCHOOL","GAREED ABAD","NFBE SCHOOL","BASTI ALI WALA"
"CITY PUBLIC SCHOOL","OLD SHUJABAD RD","THE CITY PUBLIC SCHOOL","NEAR BILAL CHOWK OLD SHUJABAD ROAD MULTAN","MJ PUBLIC SCHOOL","BASTI JUMMA WALA","ALI PUBLIC SCHOOL","BAHWAL PUR SUKHA ROAD","ALI PUBLIC SCHOOL","KHAWAJA GHARIB NAWAZ","ALI PUBLIC SCHOOL","STREET NO. 3 MADINA TOWN"
"NADIA SCHOOL SYSTEM","OLD SHUJABAD RD","NADIA SCHOOL SYSTEM","WAHID ABAD COLONY","ZAVIA SCHOOL SYSTEM","115 B GULGASHT COLONY MULTAN","EFA SCHOOL SYSTEM","V-BLOCK NEW MULTAN","TAHA SCHOOL SYSTEM","OLD SHUJA ABAD LAKRI MANDI WILAYAT ABAD","IQRA SCHOOL SYSTEM","28 S New Multan"
"BLOOMFIELD SCHOOL","ASKARI BYPASS","BLOOMFIELD HALL SCHOOL","MODEL T6OWN MULTAN 240/B","BLOOM FIELD HALL SCHOOL","E BLOCK","BROOK FIELD SCHOOL","ALI BHAI COLONY","BLOOMFIELD HALL SCHOOL TODDLERS","ABDALI ROAD MULATAN","BLOOMFIELD HALL SCHOOL JUNIORS BRANCH","ABDALI ROAD MULATAN"
"HAPPY HOME SCHOOL","ABDALI RD.","ANGEL' S HOME SCHOOL","BASTI HAJJI PUR","UJALA HOME SCHOOL SYSTEM","79 NEAR MADNI MASJID","BRITISH HOME SCHOOL SYSTEM","ALLANG LOHARI GATE","BRITISH HOME SCHOOL SYSTEM","MASOOM SHAH ROAD","BRITISH HOME SCHOOL SYSTEM","JALIL ABAD MULTAN"
"THE PUBLIC SCHOOL","OLD BWP RD","THE HOPE PUBLIC SCHOOL","MAIN PIRAN GHAIB ROAD","LIFE PUBLIC SCHOOL","ALI TOWN","THE PUNJAB PUBLIC SCHOOL","ISMAIL ZAI COLONY MULTAN`","MJ PUBLIC SCHOOL","BASTI JUMMA WALA","NOBLE PUBLIC SCHOOL","IBRAHEEM TOWN MULTAN CITY"
"BILSON PUBLIC SCHOOL","CHAH BOR WALA","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road","BILSON PUBLIC SCHOOL","JALIL ABAD COLONY MULTAN","BILSON PUBLIC SCHOOL","ZAKRIYA TOWN STREET # 11","BILSON PUBLIC SCHOOL","AL Mustafa Road"
"MULTAN GEMS GRAMMER SCHOOL","ABDALI RD.","MULTAN GEMS SCHOOL","OLD SHUJABAD ROAD","MULTAN GEMS SCHOOL","MULTAN 9 94 NO C SHAH RUKNE ALAM","MULTAN GEMS SCHOOL","OLD SHUJABAD ROAD","MULTAN GEMS SCHOOL","MULTAN 9 94 NO C SHAH RUKNE ALAM","MULTAN GRAMMAR SCHOOL","BISMILLAH COLONY NEAR BODHLA TOWN"
"BLOOMFIELD SCHOOL","ABDALI RD","BLOOMFIELD HALL SCHOOL","MODEL T6OWN MULTAN 240/B","BLOOM FIELD HALL SCHOOL","E BLOCK","BROOK FIELD SCHOOL","ALI BHAI COLONY","BLOOMFIELD HALL SCHOOL TODDLERS","ABDALI ROAD MULATAN","BLOOMFIELD HALL SCHOOL JUNIORS BRANCH","ABDALI ROAD MULATAN"
"CHANAB ALISEUM HIGH SCHOOL","QASIM BELA","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN"
"THE EDUCATOR AL QADIR CAMPUS","RAILWAY RD.","THE EDUCATORS (AL QADIR CAMPUS)","TAUNSA STREET SHER SHAH ROAD","THE EDUCATORS AL-QADIR CAMPUS BOYS","255 RAILWAY ROAD MULTAN","THE EDUCATOR HADI CAMPUS","OLD SHUJA ABAD ROAD MULTAN","THE EDUCATORS AL-QADIR CAMPUS (GIRLS)","255 RAILWAY ROAD MULTAN","THE EDUCATOR (NAWAB PUR CAMPUS)","BASTI NAU"
"UJALA HOME SCHOOL SYSTEM","GARDEN TOWN","UJALA HOME SCHOOL SYSTEM","79 NEAR MADNI MASJID","BRITISH HOME SCHOOL SYSTEM","ALLANG LOHARI GATE","BRITISH HOME SCHOOL SYSTEM","MASOOM SHAH ROAD","BRITISH HOME SCHOOL SYSTEM","JALIL ABAD MULTAN","BRITISH HOME SCHOOL SYSTEM","ALLANG LOHARI GATE"
"ZAINAIBIA FOUNDATION SCHOOL","GARDEN TOWN","NEW FOUNDATION SCHOOL","21/W 100 FEET ROAD","KIDS FOUNDATION SCHOOL","147/SHAMASABAD ,MULTAN","KIDS FOUNDATION SCHOOL","H # 121-L SHAH RUKNE-ALAM","KIDS FOUNDATION SCHOOL","147/SHAMASABAD ,MULTAN","KIDS FOUNDATION SCHOOL","H # 121-L SHAH RUKNE-ALAM"
"SHEHWAR MODEL SCHOOL.","JALILABAD","LEO MODEL SCHOOL","Town Bilal Chowk Shujaabad Road","WINNER MODEL SCHOOL","KOTHAY WALA ROAD","AQSA MODEL SCHOOL","411- I BLOCK SHAH RUKEN-E-ALAM","ROSE MODEL SCHOOL","RANGEEL PUR","IQRA MODEL SCHOOL","AZIZ COLONY SHARIF PURA MULTAN"
"ST. MARRY CONVENT SCHOOL","CANTT.","GREW BENT SCHOOL","MDA CHOWK OPPOSITE FOOD FESTIVAL MULTAN","CONCEPT SCHOOL","MAIN MODEL TOWN ROAD","MY SCHOOL","MASOOM SHAH ROAD","CONCEPT SCHOOLS","146 CB GARDEN TOWN MULTAN","THE SMART SCHOOL","GULGASHT MULTAN"
"MULTAN GEMS SCHOOL CAMPUS 2","HASAN PARWANA","MULTAN GEMS SCHOOL","OLD SHUJABAD ROAD","MULTAN GEMS SCHOOL","MULTAN 9 94 NO C SHAH RUKNE ALAM","MULTAN GEMS SCHOOL","OLD SHUJABAD ROAD","MULTAN GEMS SCHOOL","MULTAN 9 94 NO C SHAH RUKNE ALAM","MULTAN GEMS SCHOOL GIRLS BRANCH","22- ABDALI COLONY"
"BLOOM FIELD SCHOOL JUNIOR","CANTT.","BLOOM FIELD HALL SCHOOL","E BLOCK","BLOOMFIELD HALL SCHOOL JUNIORS BRANCH","ABDALI ROAD MULATAN","BLOOMFIELD HALL JUNIOR &  PREP SCHOOL","21 OFFICERS COLONY","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","BROOK FIELD SCHOOL","ALI BHAI COLONY"
"BLOOM FIELD SCHOOL PREP BRANCH","ABDALI RD","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","BLOOM FIELD HALL SCHOOL","E BLOCK","BLOOMFIELD HALL SCHOOL JUNIORS BRANCH","ABDALI ROAD MULATAN","BROOK FIELD SCHOOL","ALI BHAI COLONY","BLOOM FIELD HALL GIRLS BRANCH","3 E OFFICERS COLONY"
"BLOOM FILD SCHOOL ( C )","QASWAR GARDEZI","BLOOM FIELD HALL SCHOOL","E BLOCK","BLOOM CITY SCHOOL","IQRA TOWN DUNIYA PUR ROAD","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","GROOM FIELD HIGH SCHOOL","QASIM PUR COLONY MULTAN","BLOOM FIELD HALL  SCHOOL BUCH VILLAS CAMPUS","210-C BUCH EXECUTIVE VILLAGE"
"ALAMA IQBAL PUBLIC SCHOOL COLLEGE","SHUJABAD","JAMIL PUBLIC SCHOOL","KHAN GARH ROAD BAGGI PUL","AF PUBLIC SCHOOL JAAL WALA","BASTI JAAL WALLA","MADNI PUBLIC SCHOOL JALAL","BASTI JALAL PUR KHAKHI","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","IQRA PUBLIC SCHOOL","KOTLI NAJABAT"
"BRITISH SCHOOL","MAGSI RD","BEC SCHOOL","P/O TABBI DARKHAN WALI AGAR KHANI","BRITISH INTERNATIONAL SCHOOL SYSTEM SHUJABAD CAMPUS","MOGSI CHUK BIHIND TALA PUMP","ALLIED SCHOOL","MADINA TOWN BASTI MITHU","ISHAQ PUBLIC SCHOOL","CHAH HAZARI WALA","AISHIA PUBLIC SCHOOL","BASTI BANGALA MOZA GARDEZ PUR"
"QAID E MILLAT PUBLIC HIGH SCHOOL","JALALPUR PIRWALA","QUAID E MILLAT PUBLIC SCHOOL","KOTLI NAJABAT","AL RAFIQ PUBLIC HIGH SCHOOL","ADDA HASSAN ABAD","GREEN MISALI PUBLIC HIGH SCHOOL","BASTI ,ALOOK ROAD BASTI MUHAMMAD PUR","TAMEER -E- MILLAT PUBLIC SCHOOL","BASTI  K . P/O LASORI","QUIAD E MILLAT PUBLIC SCHOOL CHAK WARIS ABAD","CHAK WARIS ABAD"
"AL NASIR PUBLIC HIGH SCHOOL","JALALPUR PIRWALA","AL RAFIQ PUBLIC HIGH SCHOOL","ADDA HASSAN ABAD","ALQASIM PUBLIC HIGH SCHOOL SHUJABAD","KHAN PUR ROAD SHUA ABAD","GREEN MISALI PUBLIC HIGH SCHOOL","BASTI ,ALOOK ROAD BASTI MUHAMMAD PUR","AL NOOR PUBLIC SCHOOL","BASTI LABAJJA","ZAKRIA PUBLIC HIGH SCHOPL","BASTI BAGRAIN"
"IQRA NUZHAT ITTEFAL SCHOOL","JALALPUR PIRWALA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","IQRA PUBLIC SCHOOL","KOTLI NAJABAT","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","IQRA PUBLIC SCHOOL","KOTLI NAJABAT","IQRA MODEL SCHOOL RASOOL PUR","RASOOL PUR TEHSIL SHUJABAD"
"AL MADINA PUBLIC SCHOOL","JALALPUR PIRWALA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","IQRA PUBLIC SCHOOL","KOTLI NAJABAT","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD"
"NEW AL BADAR SCHOOL","JALALPUR PIRWALA","NEW AL MADINA MODEL SCHOOL","CHAH GUP WALA MAOUZA KHOJA","NEW AL KHADIM PUBLIC SCHOOL","CHAH SADIQ WALA","NEW AL - SADIQ PUBLIC SCHOOL","ADDA PAKI PUL MULTAN","NEW AHMAD PUBLIC SCHOOL","PO KALASKE","NEW AL- SUFFAH PUBLIC SCHOOL","BASTI MALANA  MULTAN"
"AL QADEER BOYS HIGHER SECONDRY SCHOOL","JALALPUR PIRWALA","SCIENCE SPECTRUM BOYS HIGHER SECONDARY SCHOOL SHUJABAD","NEAR HOUSING COLONY SHUJA ABAD","NEW AL TEHZEEB HIGHIER SECONDRY SCHOOL","ADDA PUL KHARA","SUPERIOR SCIENCE HIGHER SECONDARY SCHOOL","NEW HOUSING COLONY SHUJA ABAD","PAKISTAN GIRLS HIGHER SECONDARY SCHOOL SHUJABAD","NEW HOUSING COLONY SHUJA ABAD","RAZA PUBLIC GIRLS HIGHER SECONDARY SCHOOL SHUJABAD","LAL BAGH SHUJA ABAD"
"AL QADEER GIRLS HIGH SCHOOL","JALALPUR PIRWALA","PUNJAB PUBLIC GIRLS HIGH SCHOOL","PIR MOBEEN TOWN SHUJA ABAD","MILLAT ISLAMIC MODEL GIRLS HIGH SCHOOL","JALAL PUR ROAD NEAR ZARI TAMIRATI BANK","AL NOOR GRAMMAR HIGH SCHOOL","BASTI BANGALA MOZA GARDEZ PUR","PAKISTAN GIRLS HIGHER SECONDARY SCHOOL SHUJABAD","NEW HOUSING COLONY SHUJA ABAD","AL-NOOR GRAMMAR HIGH SCHOOL","P/O GANGALA MOR TEHSIL SHUJABAD"
"AL MARTAZA MIDDLE SCHOOL","JALALPUR PIRWALA","YASIR PUBLIC MIDDLE SCHOOL","CHAH DAKRAY WALA","JAVAID PUBLIC MIDDLE SCHOOL","BASTI KHOKAR LABEJA","MUSKAN MALALA PUBLIC MIDDLE SCHOOL","MUSKAN MALALA PUBLIC MIDDLE SCHOOL NEAR MATOTLI","ATHAR MISALI PUBLIC MIDDLE SCHOOL","BASTI PANJANI","AL-ISLAH PUBLIC MIDDLE SCHOOL","MARI NOON P/O ZARIF SHAHEED"
"OXFORD PUBLIC SCHOOL","JALALPUR PIRWALA","AHMAD PUBLIC SCHOOL","BASTI BAHADAR WALA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","IQRA PUBLIC SCHOOL","KOTLI NAJABAT","EMAN PUBLIC SCHOOL","CHAH BHIRKY WALA"
"ALI PUBLIC SCHOOL","JALALPUR PIRWALA","MADNI PUBLIC SCHOOL","KANDA RAHIM BUKHSH","ALI PUBLIC SCHOOL SHUJABAD","NEAR CHUNGI NO 8 MUREED TOWN","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","IQRA PUBLIC SCHOOL","KOTLI NAJABAT"
"SIR SYED NURSERY SCHOOL","JALALPUR PIRWALA","YOUNG SCHOLOR SECONDARY SCHOOL SYSTEM","BANK STOP KOTLI NAJABAT","SIR SYED PUBLIC SCHOOL KHANGARH ROAD SHUJABAD","KHAN GARH ROAD SHUJA ABAD","ALLIED SCHOOL","MADINA TOWN BASTI MITHU","BEC SCHOOL","P/O TABBI DARKHAN WALI AGAR KHANI","SUPERIOR SCIENCE HIGHER SECONDARY SCHOOL","NEW HOUSING COLONY SHUJA ABAD"
"AL RAFIQUE PUBLIC MIDDLE SCHOOL","JALALPUR PIRWALA","YASIR PUBLIC MIDDLE SCHOOL","CHAH DAKRAY WALA","JAVAID PUBLIC MIDDLE SCHOOL","BASTI KHOKAR LABEJA","ISLAMIC PUBLIC MIDDLE SCHOOL","BASTI NOUSHERA","NOKHAIZ PUBLIC MIDDLE SCHOOL","SIKENDERABAD","HASSAN  PUBLIC MIDDLE SCHOOL","RASOOL PUR TEHSIL SHUJABAD"
"FAROOQ AZAM PUBLIC SCHOOL","JALALPUR PIRWALA","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","IQRA PUBLIC SCHOOL","KOTLI NAJABAT","EMAN PUBLIC SCHOOL","CHAH BHIRKY WALA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN"
"NOOR UL HUDA PUBLIC SCHOOL","JALALPUR PIRWALA","AL NOOR PUBLIC SCHOOL","BASTI LABAJJA","AL- HUDDA PUBLIC SCHOOL","BASTI RANA PUNJANS","AL HUDA PUBLIC SCHOOL SHUJABAD","BODLA COLONY SHUJA ABAD","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD"
"AL QADOOS PUBLIC SCHOOL","JALALPUR PIRWALA","AL - QADIR PUBLIC SCHOOL","BASTI SAWAN WALA KHARA","AL NOOR PUBLIC SCHOOL","BASTI LABAJJA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","IQRA PUBLIC SCHOOL","KOTLI NAJABAT"
"AL FAISAL PUBLIC SCHOOL","JALALPUR PIRWALA","JAMIL PUBLIC SCHOOL","KHAN GARH ROAD BAGGI PUL","AL NOOR PUBLIC SCHOOL","BASTI LABAJJA","AL RAUF PUBLIC SCHOOL","KOTLI NAJABAT","NABEEL PUBLIC SCHOOL","CHAH GAREERA BASTI MALOOK ROAD SHUJABAD","AL- FAIZ MODEL PUBLIC SCHOOL","BASTI HASSAN ABAD"
"NEW BRIGHT WAY CADET SCHOOL","JALALPUR PIRWALA","NEW BRIGHT WAY SCHOOL","ADA PEER GHAIB MULTAN ROAD SHUJABAD","BRIGHT WAY MODEL SCHOOL","BASTI BAGRAIN","BRIGHT WAY PUBLIC SCHOOL SHUJABAD","OLD MULTAN ROAD NEAR AFIF CNG PUMP","BRIGHT STAR PUBLIC SCHOOL","ADD PIR MUBARAK SHAHA","BRIGHT FUTURE PUBLIC SCHOOL","CHAH TILOKAY WALA"
"NEW BRIGHT WAY GIRLS SCHOOL","JALALPUR PIRWALA","NEW BRIGHT WAY SCHOOL","ADA PEER GHAIB MULTAN ROAD SHUJABAD","BRIGHT WAY MODEL SCHOOL","BASTI BAGRAIN","BRIGHT WAY PUBLIC SCHOOL SHUJABAD","OLD MULTAN ROAD NEAR AFIF CNG PUMP","BRIGHT STAR PUBLIC SCHOOL","ADD PIR MUBARAK SHAHA","PUNJAB PUBLIC GIRLS HIGH SCHOOL","PIR MOBEEN TOWN SHUJA ABAD"
"RIGHT WAY PUBLIC SCHOOL","JALALPUR PIRWALA","BRIGHT WAY PUBLIC SCHOOL SHUJABAD","OLD MULTAN ROAD NEAR AFIF CNG PUMP","BRIGHT STAR PUBLIC SCHOOL","ADD PIR MUBARAK SHAHA","BRIGHT FUTURE PUBLIC SCHOOL","CHAH TILOKAY WALA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD"
"QAID AZAM PUBLIC SCHOOL BOYS","JALALPUR PIRWALA","QUAID E AZAM PUBLIC SCHOOL BASTI ARIB","BASTI ARAB","QUAID E- AZAM PUBLIC MIDDLE SCHOOL","NARAIN BASTI BANGALA","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","JAMIL PUBLIC SCHOOL","KHAN GARH ROAD BAGGI PUL","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN"
"BISMILLAH PUBLIC SCHOOL","JALALPUR PIRWALA","JINAH PUBLIC SCHOOL","LODHRAN ROAD SHUJABAD","JAMIL PUBLIC SCHOOL","KHAN GARH ROAD BAGGI PUL","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","FIZA PUBLIC SCHOOL","TALAL PUR ROAD","IQRA PUBLIC SCHOOL","KOTLI NAJABAT"
"SARA NAZIR PUBLIC SCHOOL","JALALPUR PIRWALA","NAZEER PUBLIC SCHOOL","CHAH GODAR WALA","AL NAZIR MIDDLE PUBLIC SCHOOL","CHAK NIBAHAU WALA","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN","IQRA PUBLIC SCHOOL","KOTLI NAJABAT","IQRA PUBLIC SCHOOL","PIRWALA THATHA GHALWAN"
"SCHOLAR IN PUBLIC SCHOOL","JALALPUR PIRWALA","EMAN PUBLIC SCHOOL","CHAH BHIRKY WALA","NOMAN PUBLIC SCHOOL","BASTI RUKAN HATTI","AHSAN PUBLIC SCHOOL","CHAH ALTAF HUSSAIN WALA","NOMAN PUBLIC SCHOOL","BASTI RUKAN HATTI","AHSAN PUBLIC SCHOOL","CHAH ALTAF HUSSAIN WALA"
"JINAH MODEL SCHOOL","MACHI WAL VEHARI","JINNAH MODEL HIGH SCHOOL","CHAK NO. 168/EB VEHARI","MINHAJ MODEL SCHOOL","24 WB VEHARRI","AHSAN ENGLISH MODEL SCHOOL","PAKHI MORE","IQRA ENGLISH MODEL SCHOOL","CHAK NO 561/EB","BRAIN STAR MODEL SCHOOL","CHAK NO. 549/EB   ITTEFAQ BHATTA TEHSIL AND DISTRICT VEHARI"
"VEHARI PUBLIC SCHOOL","PEER MURAAD ADDA VEHARI","ALI PUBLIC SCHOOL","32 WB VEHARRI","ALI PUBLIC SCHOOL","PEOPLES COLONY","ALI PUBLIC SCHOOL","32 WB VEHARRI","ALI PUBLIC SCHOOL","PEOPLES COLONY","ISRA PUBLIC SCHOOL VEHARI","104-M MADINA COLONY CEHARI"
"QAID PUBLIC SCHOOL","GALI MANDAR WALI VEHARI","ALI PUBLIC SCHOOL","32 WB VEHARRI","ALI PUBLIC SCHOOL","PEOPLES COLONY","ALI PUBLIC SCHOOL","32 WB VEHARRI","ALI PUBLIC SCHOOL","PEOPLES COLONY","DAWOOD PUBLIC SCHOOL","CHAK NO 20/W,B VEHARI"
"THE CITY PUBLIC SCHOOL","CHUNGI NO5 VEHARI","THE CITY SCHOOL","MULTAN ROAD COLLEGE TOWN","THE CITY SCHOOL","MULTAN ROAD VEHARI","THE CITY SCHOOL","MULTAN ROAD COLLEGE TOWN","THE CITY SCHOOL","MULTAN ROAD VEHARI","THE BEST PUBLIC SCHOOL","LALA ZAR COLONY VEHARI"
"PILOT PUBLIC HIGH SCHOOL","PAKHI MORE VEHARI","PILOT PUBLIC BOYS HIGH SCHOOL","557/EB ROAD ADDA MACHIAN WALA","PILOT PUBLIC BOYS HIGH SCHOOL","ADDA PAKHI MORE","PILOT PUBLIC BOYS HIGH SCHOOL","557/EB ROAD ADDA MACHIAN WALA","PILOT PUBLIC BOYS HIGH SCHOOL","ADDA PAKHI MORE","PILOT PUBLIC GIRLS HIGH SCHOOL","ADDA PAKHI MORE"
"PILOT SECONDARY HIGH SCHOOL","VEHARI","PILOT SECONDARY SCHOOL OF SCIENCE","ADDA PAKHI MOR","PAKISTAN HIGHER SECONDARY SCHOOL","MACHIWALA TEHSIL & DISTRICT VEHARI","PILOT PUBLIC BOYS HIGH SCHOOL","557/EB ROAD ADDA MACHIAN WALA","PILOT PUBLIC BOYS HIGH SCHOOL","ADDA PAKHI MORE","PILOT PUBLIC BOYS HIGH SCHOOL","557/EB ROAD ADDA MACHIAN WALA"
"IQRA ENGLISH MODEL SCHOOL","MACHI WAL VEHARI","IQRA ENGLISH MODEL SCHOOL","CHAK NO 561/EB","AHSAN ENGLISH MODEL SCHOOL","PAKHI MORE","AL-NOOR ENGLISH MODEL SCHOOL","CHAK NO 18/WB VEHARI","ABU ZAR ENGLISH MODEL SCHOOL","MUSLIM TOWN","SIR SYED ENGLISH MODEL SCHOOL","KACHI PAKKI"
