Sr #,Registration #,Unit Name,Date of Registration,Address of Establishment,Tehsil,District,Directorate,Contact #,Date of Start of Business,Name of Employer,Nature of Business,No. of Permanent Employees,No. of Temporary Employees,No. of Contractual Employees ,Total No. of Employees,Amount of wages paid to employees (Dec 2017),Amount of contribution paid (Dec 2017),F4 No. ,Amount of C4,F5 No.,F5 Amount,Where C4 Amount is Excess,Where C4 Amount is Less,Amount Increase Receivable ,Increase Amount Received,Accum. Balance of arrears,Functional/ Non- Functional ,Cases u/s 57,Cases u/s 59,Cases U/S 66,Cases U/S 81,Civil / High Court
46423,23-1594,M/s. Malik Oil Mills ,01.07.1986,Garha Moor Mailsi,Mailsi,Vehari,Multan,,01.07.1986,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,3251,Non-Functional,,,,,
46424,23-1595,M/s. Al- Karam Cotton Factory ,01.07.1986,Garha Moor Mailsi,Mailsi,Vehari,Multan,,01.07.1986,,Manufacture of Textile ,,,,0,,,,,,,,,,,27491,Non-Functional,,,,,
46425,20-1596,M/s. Bismillah Oil Mills ,01.07.1986,Garha Moor Mailsi,Mailsi,Vehari,Multan,,01.07.1986,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,6149,Non-Functional,,,,,
46426,20-1770,M/s. Khachi Oil Mills ,01.07.1986,Mitro Road Garha Moor ,Mailsi,Vehari,Multan,,01.07.1986,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,3769,Non-Functional,,,,,
46427,23-1719,M/s. Al-Rehman Cotton ,01.07.1986,Garha Moor Mailsi,Mailsi,Vehari,Multan,,01.07.1986,,Manufacture of Textile ,10,,,10,,,,9000,,,,,,,160254,Functional ,,,,,
46428,23-1889,M/s. Khichi Brothers Cotton ,01.07.1986,Shatab Garh Garha Moor,Mailsi,Vehari,Multan,,01.07.1986,,Manufacture of Textile ,,,,0,,,,,,,,,,,41760,Non-Functional,,,,,
46429,23-1890,M/s. Shaukat & Company ,01.05.1990,Shatab Garh Garha Moor,Mailsi,Vehari,Multan,,01.05.1990,,Manufacture of Textile ,,,,0,,,,,,,,,,,13174,Non-Functional,,,,,
46430,23-2234,M/s. Arfat Cotton ,09.06.1993,Mitro Mailsi,Mailsi,Vehari,Multan,,09.06.1993,,Manufacture of Textile ,2,,,2,,,,1800,,,,,,,36256,Functional ,,,,,
46431,40-2699,M/s. Khan Bricks ,09.06.1993,Chak No.100 WB Mailsi,Mailsi,Vehari,Multan,,09.06.1993,,Constructions,,,,0,,,,,,,,,,,255148,Non-Functional,,,,,
46432,40-2700,M/s. Kashif Brother Bhatta ,09.06.1993,114/WB Garha Moor ,Mailsi,Vehari,Multan,,09.06.1993,,Constructions,,,,0,,,,,,,,,,,1728,Non-Functional,,,,,
46433,40-2701,Rehmani Brothers Bricks,09.06.1993,100/WB Garha Moor,Mailsi,Vehari,Multan,,09.06.1993,,Constructions,,,,0,,,,,,,,,,,,Non-Functional,,,,,
46434,82-2798,M/s. Punjab Public School Vehari ,09.06.1993,Chak No.102 WB Garh Moor,Mailsi,Vehari,Multan,,09.06.1993,,Community and Business Services ,5,,,5,,,,4500,,,,,,,80100,Functional ,,,,,
46435,23-1335,M/s. Gulshan Spinning Mills ,01.12.1986,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.12.1986,,Manufacture of Textile ,6,,,6,,,,5400,,,,,,,1134080,Functional ,,,,,
46436,23-1655,M/s. Gulistan Textile Mills ,01.12.1986,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.12.1986,,Manufacture of Textile ,6,,,6,,,,5400,,,,,,,2934980,Functional ,,,,,
46437,20-1336,M/s. Bismillah Oil Mills ,01.12.1986,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.12.1986,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,1,,,1,,,,900,,,,,,,32126,Functional ,,,,,
46438,23-1337,M/s. Saleem Cotton Factory ,01.12.1986,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.12.1986,,Manufacture of Textile ,1,,,1,,,,900,,,,,,,43750,Functional ,,,,,
46439,23-1338,Saddique Cotton,01.08.1988,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,0,,,,,,,,,,,,Non-Functional,,,,,
46440,23-1499,M/s. Raheem Cotton Factory ,01.08.1988,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,0,,,,,,,,,,,35112,Non-Functional,,,,,
46441,23-1501,M/s. Umar Cotton Factory,01.08.1988,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,2,,,2,,1860,18206,,37530,5580,,,,1470,145557,Functional ,,,,,
46442,23-1715,M/s. Sulmani Cotton Ginning ,01.08.1988,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,0,,,,,,,,,,,18281,Non-Functional,,,,,
46443,20-2015,M/s. Madina Oil and Ice ,01.08.1988,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,8211,Non-Functional,,,,,
46444,23-1716,M/s. Sadaat Cotton Factory ,01.08.1988,Ludan Road Karam Pur Mailsi,Mailsi,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,0,,,,,,,,,,,18954,Non-Functional,,,,,
46445,23-1891,M/s. Haji Walayat Hussain Cotton Factory ,01.01.1991,Mitro Road Mailsi,Mailsi,Vehari,Multan,,01.01.1991,,Manufacture of Textile ,,,,0,,,,,,,,,,,4560,Non-Functional,,,,,
46446,23-1897,M/s. Khizar Abbas Cotton Factory ,01.01.1991,Mitro Road Mailsi,Mailsi,Vehari,Multan,,01.01.1991,,Manufacture of Textile ,,,,0,,,,,,,,,,,4390,Non-Functional,,,,,
46447,23-1898,M/s. Noor Sher Khachi Cotton Factory ,01.01.1991,Mitro Road Mailsi,Mailsi,Vehari,Multan,,01.01.1991,,Manufacture of Textile ,,,,0,,,,,,,,,,,18850,Non-Functional,,,,,
46448,23-1899,M/s. Athar Shoaib Cotton Factory ,01.01.1991,Mitro Road Mailsi,Mailsi,Vehari,Multan,,01.01.1991,,Manufacture of Textile ,,,,0,,,,,,,,,,,5060,Non-Functional,,,,,
46449,23-1800,M/s. Iqbal Cotton Factory ,01.01.1991,Mitro Road Mailsi,Mailsi,Vehari,Multan,,01.01.1991,,Manufacture of Textile ,2,,,2,,,,1800,,,,,,,97004,Functional ,,,,,
46450,40-2702,M/s. Bhatta Qasim Khan ,01.01.1991,Hakeem Kurai Tibba Sultanpur,Mailsi,Vehari,Multan,,01.01.1991,,Constructions,,,,0,,,,,,,,,,,19660,Non-Functional,,,,,
46451,40-2703,M/s. Ghulam Muhammad Mahains Bhatta ,01.01.1991,Hakeem Kurai Tibba Sultanpur,Mailsi,Vehari,Multan,,01.01.1991,,Constructions,,,,0,,,,,,,,,,,8420,Non-Functional,,,,,
46452,82-2704,M/s. Al-Shams Secondary School ,01.01.1991,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.01.1991,,Community and Business Services ,4,,,4,,,,3600,,,,,,,232211,Functional ,,,,,
46453,13-2777,M/s. Tibba Petrolium Service ,01.01.1991,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.01.1991,,Crude Petroleum and Natural Gase ,,,,0,,,,,,,,,,,86033,Non-Functional,,,,,
46454,82-2799,M/s. Queen Mary Middle Schol ,01.01.1991,Ward No.8 Near Sikandar Market Tibba Sultanpur,Mailsi,Vehari,Multan,,01.01.1991,,Community and Business Services ,3,,,3,,,,2700,,,,,,,223947,Functional ,,,,,
46455,40-2800,M/s. Bhatta Adrees Ahmed ,01.01.1991,Mailsi Road Tibba Sultanpur,Mailsi,Vehari,Multan,,01.01.1991,,Constructions,,,,0,,,,,,,,,,,8440,Non-Functional,,,,,
46456,82-2801,M/s. Shaheen Model School ,01.01.1991,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.01.1991,,Community and Business Services ,5,,,5,,,,4500,,,,,,,318594,Functional ,,,,,
46457,23-1718,M/s. Neelum Seeds ,01.01.1991,166/WB Milsi ,Mailsi,Vehari,Multan,,01.01.1991,,Manufacture of Textile ,37,,,37,,52862,18341,,,,,,,,15408,Functional ,,,,,
46458,20-3535,M/s. Mahar Flour Mills - Mailsi ,01.01.1991,Adda Jahan Wala Mitro Road Mailsi,Mailsi,Vehari,Multan,,01.01.1991,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,59040,Non-Functional,,,,,
46459,20-3560,M/s. Al-Khair Oil Mills ,01.10.2007,Chah Bagheedi wala Karampur Road ,Mailsi,Vehari,Multan,,01.10.2007,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,82560,Non-Functional,,,,,
46460,20-2122,"M/s. Sabir Flour Mills , Tabba Sultanpur ",01.10.2007,Pul 14 Tibba Sultanpur,Mailsi,Vehari,Multan,,01.10.2007,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,215754,Non-Functional,,,,,
46461,23-3613,M/s. A.S Cotton Industries ,01.10.2007,Multan Road Garh Moor,Mailsi,Vehari,Multan,,01.10.2007,,Manufacture of Textile ,2,,,2,,,,1800,37464,11800,,,85,800,122400,Functional ,,,,,
46462,61-3779,M/s. Abu Daud Trading Company Mailsi ,01.10.2007,Mailsi,Mailsi,Vehari,Multan,,01.10.2007,,Others,,,,0,,,,,,,,,,,8702,Non-Functional,,,,,
46463,83-3710,M/s. Labaik Restaurant ,01.10.2007,Multan Road Opp. Shell Petrolium ,Mailsi,Vehari,Multan,,01.10.2007,,Community and Business Services ,,,,0,,,,,,,,,,,68400,Non-Functional,,,,,
46464,13-3806,M/s. Ashraf Petrolium Service ,01.10.2007,Mailsi Road Dokota,Mailsi,Vehari,Multan,,01.10.2007,,Crude Petroleum and Natural Gase ,5,,,5,,,,4500,,,,,,,304800,Functional ,,,,,
46465,23-1844,Sabri Cotton,01.10.2007,Chak No.88 WB Multan Road Garha Moor,Mailsi,Vehari,Multan,,01.10.2007,,Manufacture of Textile ,,,,0,,,,,,,,,,,,Non-Functional,,,,,
46466,20-3777,M/s. Shangrila Bakers & Sweets ,01.10.2007,Multan Road Garha Moor,Mailsi,Vehari,Multan,,01.10.2007,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,2,,,2,,1800,,,37377,1800,,,,360,253380,Functional ,,,,,
46467,90-3810,Ahmed Ice Factory,01.10.2007,Kehroor Pacca Road mailsi,Mailsi,Vehari,Multan,,01.10.2007,,Storage and Warehousing ,,,,0,,,,,,,,,,,,Non-Functional,,,,,
46468,20-3811,Gousia oil & Ice,01.10.2007,Colony Road Mailsi,Mailsi,Vehari,Multan,,01.10.2007,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,,,,0,,,,,,,,,,,,Non-Functional,,,,,
46469,90-3812,M/s. Muahmmad Ice Factory ,01.10.2007,Multan Road Mailsi,Mailsi,Vehari,Multan,,01.10.2007,,Storage and Warehousing ,,,,0,,,,,,,,,,,31860,Non-Functional,,,,,
46470,90-3813,M/s. Muahmmadi Ice Factory ,01.10.2007,Mailsi,Mailsi,Vehari,Multan,,01.10.2007,,Storage and Warehousing ,,,,0,,,,,,,,,,,33300,Non-Functional,,,,,
46471,13-3838,M/s. Universal CNG,01.10.2009,Chowk Maitla Mailsi,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,4,,,4,,,,3600,,,,,,,12743,Functional ,,,,,
46472,13-3841,M/s. Jahan CNG Chowk Mataila ,01.10.2009,Chowk Maitla Mailsi,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,3,,,3,,2760,18646,,,,,,,,87515,Functional ,,,,,
46473,13-3842,M/s. Al- Rehman CNG Chowk Mataila ,01.10.2009,Pul 14 Chowk Maitla,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,1,,,1,,900,,,,,,,,,38365,Functional ,,,,,
46474,13-3830,M/s. Green Miles CNG Mailsi ,01.10.2009,Multan Road Mailsi,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,,,,0,,,,,,,,,,,63187,Non-Functional,,,,,
46475,13-3839,M/s. Kikry Khurd Filling Station Mailsi.,01.10.2009,Kehroor Pacca Road mailsi,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,5,,,5,,,,4500,,,,,,,101460,Functional ,,,,,
46476,13-3840,M/s. Attock Petrolium Service ,01.10.2009,Multan Road Mailsi,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,5,,,5,,4500,18448,,,,,,,,293160,Functional ,,,,,
46477,13-3851,M/s. GO Gas CNG,01.10.2009,Chowk Maitla ,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,,,,0,,,,,,,,,,,0,Non-Functional,,,,,
46478,13-3872,M/s. Petroleum Filling Station ,01.10.2009,Chowk Maitla,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,3,,,3,,,,2700,,,,,,,167715,Functional ,,,,,
46479,13-2643,M/s. Apna Trucking Station ,01.10.2009,Chowk Maitla Dunyapur Road,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,5,,,5,,4820,18446,,,,,,,,6200,Functional ,,,,,
46480,13-3874,M/s. Three Star CNG,01.10.2009,Chowk Maitla Dunyapur Road,Mailsi,Vehari,Multan,,01.10.2009,,Crude Petroleum and Natural Gase ,1,,,1,,900,,,,,,,,,144780,Functional ,,,,,
46481,13-4646,M/s.Saleem CNG ,01.07.2012,Tibba Sultanpur ,Mailsi,Vehari,Multan,,01.07.2012,,Crude Petroleum and Natural Gase ,3,,,3,,2700,18577,,,,,,,,3360,Functional ,,,,,
46482,82-4404,M/s. Mailsi Campus ,01.07.2012,Colony Road Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Community and Business Services ,6,,,6,,,,5400,,,,,,,242700,Functional ,,,,,
46483,82-4405,Ghazali Campus ,01.07.2012,234 Main Sharqi Colony,Mailsi,Vehari,Multan,,01.07.2012,,Community and Business Services ,10,,,10,,9260,18641,,36617,,,,,1190,163440,Functional ,,,,,
46484,40-4535,Haji Gulzar Ahmed Bricks ,01.07.2012,Basti Siddique Abad Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Constructions,5,,,5,,,,4500,,,,,,,240000,Functional ,,,,,
46485,40-4536,Rao Akbar Bricks ,01.11.2013,Basti Allah Abad,Mailsi,Vehari,Multan,,01.11.2013,,Constructions,5,,,5,,,,4500,,,,,,,134400,Functional ,,,,,
46486,40-4537,Chaman Abbas Bricks ,01.07.2012,Basti Allah Abad Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Constructions,5,,,5,,,,4500,,,,,,,134100,Functional ,,,,,
46487,40-4538,Al Taj Bricks Company ,01.07.2012,Allah Abad Kehroor Pacca Road,Mailsi,Vehari,Multan,,01.07.2012,,Constructions,5,,,5,,,,4500,,,,,,,240360,Functional ,,,,,
46488,40-4539,Haji Gulzar Ahmed Arain Brothor Bhatta  ,01.07.2012,Siddique Abad Kehroor Pacca Road Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Constructions,5,,,5,,,,4500,,,,,,,240360,Functional ,,,,,
46489,40-4540,M/s. Al-Macca Bricks ,01.07.2012,Dabay Wala Karampur Road Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Constructions,5,,,5,,,,4500,,,,,,,240360,Functional ,,,,,
46490,40-4541,M/s. Itehad & Co Bhatta Khisht ,01.07.2012,Sher Moor Karampur Road Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Constructions,5,,,5,,,,4500,,,,,,,240360,Functional ,,,,,
46491,83-4648,Merhhab Hotel & Restaurant ,01.07.2012,Quaid-e-Azam Road ,Mailsi,Vehari,Multan,,01.07.2012,,Community and Business Services ,5,,,5,,,,4500,,,,,,,119640,Functional ,,,,,
46492,13-3837,Nawazish Filling Station ,01.07.2012,Multan Road Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Crude Petroleum and Natural Gase ,5,,,5,,,,4500,,,,,,,194280,Functional ,,,,,
46493,82-4689,M/s. Punjab College,01.07.2012,Multan Road Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Community and Business Services ,5,,,5,,,,4600,,,,,,,146245,Functional ,,,,,
46494,13-4698,"Subhan Petrolium, service",01.07.2012,Multan Road Garha Moor,Mailsi,Vehari,Multan,,01.07.2012,,Crude Petroleum and Natural Gase ,5,,,5,,,,4500,,,,,,,229860,Functional ,,,,,
46495,13-4699,Fazal Petrolium Service,01.07.2012,Chak No.122 WB Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Crude Petroleum and Natural Gase ,5,,,5,,,,4500,,,,,,,229860,Functional ,,,,,
46496,13-4700,Allah Rakha Filling Station,01.07.2012,120/WB Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Crude Petroleum and Natural Gase ,3,,,3,,,,2700,,,,,,,127860,Functional ,,,,,
46497,13-4701,Dokota CNG Station,01.07.2012,Multan road Dokota Mailsi,Mailsi,Vehari,Multan,,01.07.2012,,Crude Petroleum and Natural Gase ,,,,0,,,,,,,,,,,109080,Non-Functional,,,,,
46498,23-1593,M/s. Azmat Cotton Factory No.2,01.07.1986,Garha Moor Mailsi,Mailsi,Vehari,Multan,,01.07.1986,,Manufacture of Textile ,1,,,1,,,,900,,,,,,,85797,Functional ,,,,,
46499,20-4887,M/s. Nirala Sweets,10.09.2013,Mailsi City,Mailsi,Vehari,Multan,,10.09.2013,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,2,,,2,,,,1800,,,,,,,84120,Functional ,,,,,
46500,13-4892,M/s. Allah Dad Petroleum.,10.09.2013,Karam Pur Road Mailsi,Mailsi,Vehari,Multan,,10.09.2013,,Crude Petroleum and Natural Gase ,,,,,,,,,,,,,,,144060,Non-Functional,,,,,
46501,20-4890,M/s. Al Khair Sweets.,10.09.2013,Mailsi Road Dokota,Mailsi,Vehari,Multan,,10.09.2013,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,5,,,5,,,,4500,,,,,,,192300,Functional ,,,,,
46502,83-5115,M/s. City Hotel & B.B.Q,01.08.2014,Colony Road Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Community and Business Services ,,,,0,,,,,,,,,,,134040,Non-Functional,,,,,
46503,61-5119,M/s. Sharafat & Company.,01.08.2014,Mandi Road Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Others,5,,,5,,,,4500,,,,,,,154980,Functional ,,,,,
46504,20-4888,M/s. Data Sweets,01.08.2014,Mailsi Road Dokota,Mailsi,Vehari,Multan,,01.08.2014,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,2,,,2,,1800,18642,,37618,12134,,,,6066,67782,Functional ,,,,,
46505,13-5146,M/s. Fair Ways Petroleum.,01.08.2014,Bahawalpur Road Chowk Maitla,Mailsi,Vehari,Multan,0301-3197532,01.08.2014,Ch. Ahsan Zahoor,Crude Petroleum and Natural Gase ,3,,,3,,,,2700,,,,,,,6300,Functional ,,,,,
46506,13-5118,M/s. Kashif Petroleum.,01.08.2014,Multan Road Near Bridge Canal Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Crude Petroleum and Natural Gase ,3,,,3,,,,2700,,,,,,,168300,Functional ,,,,,
46507,36-5120,M/s. Muhammadi Autos.,01.08.2014,Near Shell Pump Multan Road Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Miscellaneos industries ,3,,,3,,,,2700,,,,,,,129900,Functional ,,,,,
46508,82-5116,M/s. Al Quaid Islamic School.,01.08.2014,Jala Jeem Road Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Community and Business Services ,5,,,5,,,,4500,,,,,,,206220,Functional ,,,,,
46509,20-5195,M/s. Shakoori Sweets,01.08.2014,Multan Road Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,5,,,5,,4500,18423,,,,,,,,0,Functional ,,,,,
46510,29-3694,Borjan Shoes,01.08.2014,Mailsi,Mailsi,Vehari,Multan,,01.08.2014,,Others,,,,0,,,,,,,,,,,,Non-Functional,,,,,
46511,82-5910,M/s. Hawks Secondary School,19.04.2017,Quaid-e-Azam Road Mailsi,Mailsi,Vehari,Multan,,19.04.2017,,Community and Business Services ,5,,,5,,4500,17454,,,,,,,,0,Functional ,,,,,
46512,20-5886,M/s. Pak Land Feed Pvt Ltd.,21.03.2017,14-Km Dokota Road Mitro Mailsi,Mailsi,Vehari,Multan,0301-7661325,21.03.2017,Malik M. Akram,Food Mfg. Industries Except Beverage Industries  Mfg. Industries Except Beverage Industries ,24,,,24,,21600,18153,,37635,20733,,,,10367,11760,Functional ,,,,,
46513,82-5913,M/s. The Country / Jems School,24.04.2017,Colony Road Mailsi,Mailsi,Vehari,Multan,,24.04.2017,,Community and Business Services ,5,,,5,,,,4500,,,,,,,39804,Functional ,,,,,
46514,31-5914,M/s. Niaz & Sons Engg.,24.04.2017,Colony Road Mailsi,Mailsi,Vehari,Multan,0300-7727671,24.04.2017,M. Akhtar,Miscellaneos industries ,5,,,5,,,,4500,,,,,,,35100,Functional ,,,,,
46515,61-5915,M/s. Akhtar Salaie Machine,24.04.2017,Quaid-e-Azam Road Mailsi,Mailsi,Vehari,Multan,0300-4403846,24.04.2017,,Others,5,,,5,,,,4500,,,,,,,35100,Functional ,,,,,
46516,82-5916,M/s. British International School,24.04.2017,Multan Road Mailsi,Mailsi,Vehari,Multan,0300-7718222,24.04.2017,Falak Sher,Community and Business Services ,5,,,5,,,,4500,,,,,,,35100,Functional ,,,,,
46517,82-5917,M/s. Allied School,24.04.2017,Multan Road Mailsi,Mailsi,Vehari,Multan,0336-6262555,24.04.2017,Mian Kashif,Community and Business Services ,5,,,5,,,,4500,,,,,,,53460,Functional ,,,,,
46518,82-5966,M/s. The Eductor School,05.09.2017,Girls College Road Mailsi,Mailsi,Vehari,Multan,0300-6197741,05.09.2017,Naveed ul Hussaini,Community and Business Services ,5,,,5,,,,4500,,,,,,,4820,Functional ,,,,,
46519,23-5998,Al-Majeed Cotton,05.09.2017,Mailsi,Mailsi,Vehari,Multan,,05.09.2017,,Manufacture of Textile ,5,,,5,,,,4500,,,,,,,,Functional ,,,,,
46520,82-6001,Hamza Model School ,30.10.2017,Kehroor Pacca Road mailsi,Mailsi,Vehari,Multan,,30.10.2017,Abida Begum,Community and Business Services ,6,,,6,,5460,18449,,,,,,,,,Functional ,,,,,
46521,82-6002,Razi Model,30.10.2017,Jala Jeem Road Mailsi,Mailsi,Vehari,Multan,,30.10.2017,M. Mumtaz,Community and Business Services ,5,,,5,,,,4500,,,,,,,,Functional ,,,,,
46522,40-4594,Sarco,30.10.2017,Maitla Chowk Mailsi,Mailsi,Vehari,Multan,,30.10.2017,,Constructions,13,,,13,,11000,,,,,,,,,0,Functional ,,,,,
46523,40-6013,Ramzan & Sons Pvt Limited,29.11.2017,,Mailsi,Vehari,Multan,0300-2662861,29.11.2017,Ali Hasan,Constructions,28,,,28,,26000,17155,,,,,,,,,Functional ,,,,,
46524,5/23/03,M/s. Hussain Mills No. I Contractors ,01.11.1967,Timber Market,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,791,,,791,11336960,680218,17307,,,,,,,,4645,Non-Functional,,,,,High Court
46525,5/23/03,"Contractor Iqbal, Hussain Mills",01.11.1967,Timber Market,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,3,,,3,51000,3060,17308,,,,,,,,,Functional ,,,,,
46526,5/23/03,"Contractor M. Yaqoob, Hussain Mills",01.11.1967,Timber Market,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,17,,,17,210000,12600,17308,,,,,,,,,Functional ,,,,,
46527,5/23/03,"Contractor M.Arshad / M. Asghar, Hussain Mills",01.11.1967,Timber Market,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,9,,,9,122400,7344,17308,,,,,,,,,Functional ,,,,,
46528,5/23/03,"Contractor M. ISMAIL, Hussain Mills",01.11.1967,Timber Market,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,8,,,8,114595,6876,17308,,,,,,,,,Functional ,,,,,
46529,5/23/03,"Contractor Riaz Hussain, Hussain Mills",01.11.1967,Timber Market,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,13,,,13,181800,10908,17308,,,,,,,,,Functional ,,,,,
46530,5/20/33,M/s. Vita Bread / Mansoor & Sons ,01.11.1967,Suraj Kund Rd,Multan,Multan,Multan,,01.11.1967,,Food Mfg. Industries Except Beverage Industries ,12,,,12,157160,9430,18512,,,,,,,,148452,Functional ,,,,,
46531,5/20/33,M/s. Power Packages ,01.11.1967,Chowk Shah Abbas,Multan,Multan,Multan,,01.11.1967,,Food Mfg. Industries Except Beverage Industries ,5,,,5,80000,4800,18218,,,,,,,,424631,Functional ,,,,,
46532,5/20/46,M/s Nisar Industries,01.11.1968,Vehari Rd.,Multan,Multan,Multan,,01.11.1968,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,,Non-Functional,,,,,
46533,5-39-50,United Glass Industries,01.06.1969,Shujabad Rd,Multan,Multan,Multan,,01.06.1969,,Manufacture of Chemicals and Chemical Products ,,,,,,,,,,,,,,,4738,Non-Functional,,,,,
46534,5/23/86,M/s. Mola Bukhsh Cotton,01.07.1970,Shujabad Rd,Multan,Multan,Multan,,01.07.1970,,Manufacture of Textile ,,,,,0,0,,,,,,,,,0,Functional ,,,,,
46535,5/23/04,M/s. United Hand Home,01.11.1967,Vehari Rd.,Multan,Multan,Multan,,01.11.1967,,Manufacture of Textile ,,,,,0,0,,,,,,,,,0,Functional ,,,,,
46536,5/20/33,M/s. Liaqat Enterprises,01.11.1968,Vehari Rd.,Multan,Multan,Multan,,01.11.1968,,Food Mfg. Industries Except Beverage Industries ,12,,,12,180000,9430,18512,,,,,,,,0,Functional ,,,,,
46537,5/20/33,M/s. Kousar Oil Mills,01.11.2008,Vehari Rd.,Multan,Multan,Multan,,01.11.2008,,Food Mfg. Industries Except Beverage Industries ,5,,,5,75000,4800,18218,,,,,,,,0,Functional ,,,,,
46538,5/20/46,M/s. Nasar Ind,01.11.1968,Vehari Rd.,Multan,Multan,Multan,,01.11.1968,,Food Mfg. Industries Except Beverage Industries ,,,,,0,0,,,,,,,,,0,Functional ,,,,,
46539,5/23/80,M/s. Kohi Noor Ind ,01.07.1970,Suraj Kund Rd,Multan,Multan,Multan,,01.07.1970,,Manufacture of Textile ,,,,,0,0,,,,,,,,,8032,Non-Functional,,,,,
46540,5/20/93,M/s. Pakistan Oil / Khalid Ind ,01.07.1970,Vehari Rd.,Multan,Multan,Multan,,01.07.1970,,Food Mfg. Industries Except Beverage Industries ,,,,,0,0,,,,,,,,,890,Non-Functional,,,,,
46541,5-83-98,M/s. Naz Cinema ,01.07.1971,Vehari Rd.,Multan,Multan,Multan,,01.07.1971,,Recreation Services,3,,,3,,,,2700,,,,,,,34289,Functional ,,,,,
